OpenTime,Open,High,Low,Close,Volume,QuoteVolume
19-06-21 07:00,35820.48000000,36457.00000000,34803.52000000,35483.72000000,68712.44946100,2453817534.77716944
20-06-21 07:00,35483.72000000,36137.72000000,33336.00000000,35600.16000000,89878.17085000,3124634336.84076064
21-06-21 07:00,35600.17000000,35750.00000000,31251.23000000,31608.93000000,168778.87315900,5545926077.78806706
22-06-21 07:00,31614.12000000,33298.78000000,28805.00000000,32509.56000000,204208.17976200,6406159197.07678900
23-06-21 07:00,32509.56000000,34881.00000000,31683.00000000,33678.07000000,126966.10056300,4282250433.91944518
24-06-21 07:00,33675.07000000,35298.00000000,32286.57000000,34663.09000000,86625.80426000,2925373222.10597716
25-06-21 07:00,34663.08000000,35500.00000000,31275.00000000,31584.45000000,116061.13035600,3846120542.65729680
26-06-21 07:00,31576.09000000,32730.00000000,30151.00000000,32283.65000000,107820.37528700,3376415451.79312412
27-06-21 07:00,32283.65000000,34749.00000000,31973.45000000,34700.34000000,96613.24421100,3199980157.75033328
28-06-21 07:00,34702.49000000,35297.71000000,33862.72000000,34494.89000000,82222.26781900,2837122779.52440164
29-06-21 07:00,34494.89000000,36600.00000000,34225.43000000,35911.73000000,90788.79622000,3233947791.86338857
30-06-21 07:00,35911.72000000,36100.00000000,34017.55000000,35045.00000000,77152.19763400,2688939291.09567313
01-07-21 07:00,35045.00000000,35057.57000000,32711.00000000,33504.69000000,71708.26611200,2410809595.39045694
02-07-21 07:00,33502.33000000,33977.04000000,32699.00000000,33786.55000000,56172.18137800,1870193042.39353716
03-07-21 07:00,33786.54000000,34945.61000000,33316.73000000,34669.13000000,43044.57864100,1478423023.50348303
04-07-21 07:00,34669.12000000,35967.85000000,34357.15000000,35286.51000000,43703.47578900,1544458212.39263313
05-07-21 07:00,35288.13000000,35293.78000000,33125.55000000,33690.14000000,64123.87424500,2183406257.49382919
06-07-21 07:00,33690.15000000,35118.88000000,33532.00000000,34220.01000000,58210.59634900,1991691100.94826585
07-07-21 07:00,34220.02000000,35059.09000000,33777.77000000,33862.12000000,53807.52167500,1857658028.48080391
08-07-21 07:00,33862.11000000,33929.64000000,32077.00000000,32875.71000000,70136.48032000,2304973020.29871520
09-07-21 07:00,32875.71000000,34100.00000000,32261.07000000,33815.81000000,47153.93989900,1562958239.39137620
10-07-21 07:00,33815.81000000,34262.00000000,33004.78000000,33502.87000000,34761.17546800,1171790111.08299535
11-07-21 07:00,33502.87000000,34666.00000000,33306.47000000,34258.99000000,31572.64744800,1070033013.19204486
12-07-21 07:00,34259.00000000,34678.43000000,32658.34000000,33086.63000000,48181.40376200,1620646741.33496329
13-07-21 07:00,33086.94000000,33340.00000000,32202.25000000,32729.77000000,41126.36100800,1348583017.01034310
14-07-21 07:00,32729.12000000,33114.03000000,31550.00000000,32820.02000000,46777.82348400,1515692074.98754753
